# web_thickness (plies), core_thickness (mm)
3,5
5,5
7,5
9,5
22,5
26,5
30,5
34,5
40,5
44,5
48,5
54,5
58,5
64,5
68,5
74,5
78,5
84,5
90,5
96,5
96,5
90,5
84,5
78,5
74,5
68,5
64,5
58,5
54,5
48,5
44,5
40,5
34,5
30,5
26,5
22,5
18,5
7,5
5,5
3,5
