# web_thickness (plies), core_thickness (mm)
4,9
7,9
11,9
14,9
18,9
22,9
25,9
29,9
33,9
37,9
41,9
45,9
49,9
53,9
57,9
62,9
66,9
71,9
76,9
81,9
81,9
76,9
71,9
66,9
62,9
57,9
53,9
49,9
45,9
41,9
37,9
33,9
29,9
25,9
22,9
18,9
14,9
11,9
7,9
4,9
