x/c,    y/c
0.904662719,    0.020594146
0.909514931,    0.020018118
0.914366615,    0.019437658
0.919217573,    0.018851167
0.92406759  ,0.018256938
0.928916427,    0.017653157
0.93376382  ,0.017037895
0.938609478,    0.016409109
0.943453074,    0.015764639
0.948294247,    0.015102207
0.95313259  ,0.014419413
0.957967649,    0.013713739
0.962798914,    0.012982548
0.967625816,    0.012223082
0.972447715,    0.01143247
0.977160734,    0.010625784
0.981439912,    0.009861639
0.985325082,    0.009139564
0.988852482,    0.008458989
0.992055066,    0.007819184
0.994962786,    0.007219226
0.997602859,    0.006658005
1,  0.006134238
0,  0
0.000150575,    -0.002452335
0.000607252,    -0.004909773
0.001373677,    -0.00734483
0.002442515,    -0.009719232
0.003798981,    -0.012002675
0.005422748,    -0.014171196
0.007290448,    -0.016207688
0.009377898,    -0.018101528
0.011661786,    -0.01984763
0.014120748,    -0.021445265
0.016735923,    -0.022896879
0.019491123,    -0.024207081
0.022372752,    -0.025381817
0.025369584,    -0.026427765
0.028472489,    -0.0273519
0.031674138,    -0.0281612
0.034968729,    -0.028862462
0.038351748,    -0.029462187
0.041819748,    -0.029966526
0.045370178,    -0.030381255
0.049001228,    -0.030711774
0.052711708,    -0.030963119
0.056500946,    -0.031139985
0.060368702,    -0.031246755
0.064315106,    -0.03128752
0.068340596,    -0.031266115
0.072445875,    -0.031186137
0.076631873,    -0.031050979
0.080899714,    -0.030863844
0.085250696,    -0.030627772
0.089686263,    -0.030345657
0.094207989,    -0.030020265
0.098817569,    -0.029654246
0.103516796,    -0.029250152
0.108307561,    -0.028810444
0.113191836,    -0.028337507
0.118060991,    -0.027845063
0.12292836  ,-0.027335276
0.127794208,    -0.026811174
0.132658791,    -0.026275457
0.137522352,    -0.025730536
0.142385118,    -0.02517857
0.147247301,    -0.024621486
0.152109094,    -0.024061012
0.156970674,    -0.023498691
0.1618322   ,-0.022935906
0.166693815,    -0.022373892
0.171555646,    -0.02181375
0.176417806,    -0.021256464
0.181280392,    -0.020702909
0.186143488,    -0.020153861
0.191007169,    -0.019610009
0.195871495,    -0.01907196
0.200736517,    -0.018540248
0.205602279,    -0.018015342
0.210468813,    -0.017497649
0.215336147,    -0.016987522
0.220204298,    -0.016485265
0.225073282,    -0.015991137
0.229943105,    -0.015505354
0.234813771,    -0.015028099
0.23968528  ,-0.01455952
0.244557626,    -0.014099735
0.249430803,    -0.013648836
0.2543048   ,-0.013206892
0.259179605,    -0.012773949
0.264055204,    -0.012350037
0.26893158  ,-0.011935167
0.273808717,    -0.011529337
0.278686597,    -0.011132534
0.2835652   ,-0.010744731
0.288444508,    -0.010365894
0.293324501,    -0.009995983
0.298205158,    -0.00963495
0.303086461,    -0.009282743
0.307968388,    -0.008939307
0.312850921,    -0.008604583
0.317734038,    -0.008278512
0.322617723,    -0.007961035
0.327501954,    -0.007652092
0.332386714,    -0.007351624
0.337271985,    -0.007059575
0.342157749,    -0.00677589
0.347043988,    -0.006500519
0.351930686,    -0.006233413
0.356817826,    -0.005974529
0.361705393,    -0.005723826
0.366593371,    -0.005481268
0.371481745,    -0.005246825
0.3763705   ,-0.005020472
0.381259622,    -0.004802186
0.386149097,    -0.004591954
0.391038911,    -0.004389764
