x/c,    y/c
0.307806658,    0.1956133
0.3097122   ,0.195820766
0.311618292,    0.196023103
0.313524919,    0.196220341
0.315432064,    0.196412512
0.31733971  ,0.196599643
0.31924784  ,0.196781764
0.321156439,    0.196958905
0.323065492,    0.197131092
0.324974982,    0.197298355
0.326884895,    0.197460721
0.328795215,    0.197618216
0.330705929,    0.197770868
0.332617022,    0.197918703
0.334528479,    0.198061747
0.336440287,    0.198200025
0.338352431,    0.198333562
0.3402649   ,0.198462383
0.342177678,    0.198586513
0.344090754,    0.198705974
0.346004114,    0.198820791
0.347917746,    0.198930987
0.349831637,    0.199036584
0.351745775,    0.199137603
0.353660148,    0.199234069
0.355574744,    0.199326
0.357489552,    0.199413419
0.359404559,    0.199496346
0.361319755,    0.199574802
0.363235128,    0.199648805
0.365150667,    0.199718376
0.367066361,    0.199783534
0.368982199,    0.199844296
0.370898172,    0.199900683
0.372814268,    0.19995271
0.374730476,    0.200000396
0.376646788,    0.200043758
0.378563192,    0.200082812
0.380479678,    0.200117576
0.382396238,    0.200148065
0.38431286  ,0.200174294
0.386229536,    0.200196279
0.388146256,    0.200214035
0.39006301  ,0.200227577
0.391979789,    0.200236918
0.393896584,    0.200242074
0.395813386,    0.200243056
0.397730185,    0.200239879
0.399646973,    0.200232556
0.401563741,    0.200221099
0.40348048  ,0.200205521
0.405397181,    0.200185833
0.407313835,    0.200162047
0.409230434,    0.200134175
0.41114697  ,0.200102228
0.413063434,    0.200066216
0.414979817,    0.200026151
0.416896111,    0.199982042
0.418812309,    0.199933899
0.420728401,    0.199881733
0.422644379,    0.199825552
0.424560236,    0.199765366
0.426475963,    0.199701184
0.428391552,    0.199633015
0.430306996,    0.199560866
0.432222286,    0.199484747
0.434137414,    0.199404666
0.436052373,    0.199320629
0.437967155,    0.199232645
0.439881751,    0.199140722
0.441796155,    0.199044866
0.443710358,    0.198945084
0.445624353,    0.198841384
0.447538132,    0.198733771
0.449451687,    0.198622253
0.451365011,    0.198506835
0.453278096,    0.198387523
0.455190935,    0.198264325
0.457103519,    0.198137244
0.459015843,    0.198006287
0.460927897,    0.19787146
0.462839675,    0.197732767
0.464751168,    0.197590214
0.466662371,    0.197443807
0.468573274,    0.197293549
0.470483872,    0.197139446
0.472394155,    0.196981502
0.474304118,    0.196819722
0.476213752,    0.196654111
0.47812305  ,0.196484673
0.480032006,    0.196311412
0.481940611,    0.196134333
0.483848858,    0.195953439
0.48575674  ,0.195768735
0.48766425  ,0.195580225
0.48957138  ,0.195387913
0.491478123,    0.195191802
0.493384473,    0.194991896
0.495290421,    0.1947882
0.49719596  ,0.194580716
0.499101084,    0.19436945
0.501005784,    0.194154403
0.502910055,    0.19393558
0.504813888,    0.193712985
0.506717277,    0.193486621
0.508620214,    0.193256491
0.510522693,    0.1930226
0.512424706,    0.19278495
0.514326245,    0.192543546
0.516227305,    0.19229839
0.518127878,    0.192049487
0.520027957,    0.191796839
0.521927534,    0.191540451
0.523826604,    0.191280326
0.525725158,    0.191016467
0.52762319  ,0.190748879
0.529520693,    0.190477564
0.53141766  ,0.190202527
0.533314085,    0.189923771
0.535209959,    0.189641301
0.537105277,    0.189355118
0.539000031,    0.189065229
0.540894215,    0.188771636
0.542787822,    0.188474343
0.544680845,    0.188173355
0.546573277,    0.187868675
0.548465112,    0.187560308
0.550356343,    0.187248257
0.552246963,    0.186932527
0.554136966,    0.186613123
0.556026345,    0.186290047
0.557915093,    0.185963306
0.559803204,    0.185632903
0.561690672,    0.185298844
0.563577489,    0.184961131
0.56546365  ,0.184619772
0.567349148,    0.184274769
0.569233977,    0.183926129
0.57111813  ,0.183573855
0.573001601,    0.183217954
0.574884385,    0.182858429
0.576766473,    0.182495288
0.578647861,    0.182128534
0.580528543,    0.181758173
0.582408512,    0.181384211
0.584287761,    0.181006653
0.586166286,    0.180625505
0.58804408  ,0.180240773
0.589921138,    0.179852463
0.591797453,    0.17946058
0.593673019,    0.17906513
0.595547832,    0.17866612
0.597421884,    0.178263557
0.599295171,    0.177857445
0.601167686,    0.177447793
0.603039425,    0.177034606
0.604910381,    0.17661789
0.60678055  ,0.176197654
0.608649926,    0.175773902
0.610518503,    0.175346643
0.612386276,    0.174915884
0.614253239,    0.174481631
0.616119389,    0.174043891
0.617984719,    0.173602673
0.619849224,    0.173157982
0.6217129   ,0.172709828
0.623575741,    0.172258217
0.625437743,    0.171803156
0.6272989   ,0.171344654
0.629159208,    0.170882719
0.631018662,    0.170417358
0.632877257,    0.169948579
0.634734989,    0.16947639
0.636591853,    0.1690008
0.638447844,    0.168521816
0.640302959,    0.168039447
0.642157192,    0.167553702
0.644010539,    0.167064587
0.645862997,    0.166572113
0.64771456  ,0.166076288
0.649565225,    0.16557712
0.651414988,    0.165074618
0.653263844,    0.16456879
0.655111789,    0.164059646
0.65695882  ,0.163547194
0.658804932,    0.163031444
0.660650123,    0.162512403
0.662494387,    0.161990082
0.664337721,    0.161464489
0.666180122,    0.160935633
0.668021586,    0.160403524
0.669862109,    0.15986817
0.671701688,    0.159329581
0.67354032  ,0.158787765
0.675378001,    0.158242733
0.677214727,    0.157694494
0.679050495,    0.157143056
0.680885303,    0.15658843
0.682719147,    0.156030624
0.684552023,    0.155469647
0.686383929,    0.15490551
0.688214861,    0.154338222
0.690044817,    0.153767791
0.691873793,    0.153194227
0.693701787,    0.15261754
0.695528796,    0.152037739
0.697354817,    0.151454834
0.699179846,    0.150868833
0.701003882,    0.150279746
0.702826921,    0.149687582
0.704648961,    0.14909235
0.706469999,    0.14849406
0.708290032,    0.147892721
0.710109058,    0.147288342
0.711927074,    0.146680932
0.713744078,    0.1460705
0.715560067,    0.145457056
0.717375038,    0.144840607
0.71918899  ,0.144221164
0.721001919,    0.143598735
0.722813823,    0.142973328
0.724624699,    0.142344953
0.726434546,    0.141713617
0.728243361,    0.141079331
0.730051141,    0.140442101
0.731857883,    0.139801937
0.733663587,    0.139158847
0.735468248,    0.138512839
0.737271866,    0.137863921
0.739074436,    0.137212101
0.740875958,    0.136557387
0.742676428,    0.135899787
0.744475844,    0.135239309
0.746274203,    0.13457596
0.748071504,    0.133909748
0.749867744,    0.133240679
0.75166292  ,0.132568762
0.75345703  ,0.131894003
0.755250071,    0.131216409
0.757042041,    0.130535987
0.758832937,    0.129852744
0.760622756,    0.129166685
0.762411497,    0.128477819
0.764199156,    0.12778615
0.76598573  ,0.127091684
0.767771217,    0.126394428
0.769555614,    0.125694387
0.771338918,    0.124991567
0.773121126,    0.124285973
0.774902236,    0.12357761
0.776682244,    0.122866484
0.778461147,    0.122152598
0.780238943,    0.121435957
0.782015627,    0.120716567
0.783791197,    0.11999443
0.785565649,    0.119269552
0.78733898  ,0.118541935
0.789111187,    0.117811583
0.790882266,    0.1170785
0.792652212,    0.116342689
0.794421024,    0.115604153
0.796188696,    0.114862893
0.797955224,    0.114118914
0.799720606,    0.113372216
0.801484836,    0.112622801
0.803247911,    0.111870673
0.805009826,    0.111115831
0.806770576,    0.110358277
0.808530158,    0.109598013
0.810288566,    0.108835038
0.812045795,    0.108069353
0.813801842,    0.107300958
0.8155567   ,0.106529853
0.817310365,    0.105756039
0.819062831,    0.104979513
0.820814093,    0.104200275
0.822564146,    0.103418325
0.824312982,    0.10263366
0.826060598,    0.101846278
0.827806986,    0.101056178
0.829552141,    0.100263357
0.831296055,    0.099467812
0.833038724,    0.098669541
0.834780139,    0.097868541
0.836520295,    0.097064806
0.838259183,    0.096258335
0.839996798,    0.095449122
0.841733131,    0.094637164
0.843468175,    0.093822454
0.845201923,    0.093004989
0.846934366,    0.092184763
0.848665496,    0.091361769
0.850395305,    0.090536002
0.852123784,    0.089707456
0.853850925,    0.088876124
0.855576719,    0.088041998
0.857301157,    0.087205072
0.859024228,    0.086365338
0.860745924,    0.085522787
0.862466235,    0.084677411
0.864185151,    0.083829203
0.865902662,    0.082978152
0.867618756,    0.082124249
0.869333424,    0.081267485
0.871046654,    0.08040785
0.872758435,    0.079545333
0.874468756,    0.078679924
0.876177604,    0.077811612
0.877884969,    0.076940385
0.879590837,    0.076066233
0.881295197,    0.075189142
0.882998035,    0.074309101
0.884699339,    0.073426097
0.886399095,    0.072540118
0.888097289,    0.07165115
0.889793909,    0.070759179
0.891488939,    0.069864192
0.893182366,    0.068966174
0.894874175,    0.068065111
0.89656435  ,0.067160989
0.898252877,    0.066253792
0.89993974  ,0.065343505
0.901624923,    0.064430112
0.903308411,    0.063513597
0.904990186,    0.062593944
0.906670232,    0.061671136
0.908348533,    0.060745157
0.91002507  ,0.05981599
0.911699827,    0.058883616
0.913372785,    0.05794802
0.915043926,    0.057009182
0.916713232,    0.056067084
0.918380684,    0.055121709
0.920046262,    0.054173037
0.921709948,    0.053221049
0.923371721,    0.052265728
0.925031562,    0.051307052
0.92668945  ,0.050345004
0.928345364,    0.049379562
